|content                  |COUNT(content)|
|-------------------------|--------------|
|人言落日是天涯，望极天涯不见家。         |3             |
|采得百花成蜜后，为谁辛苦为谁甜。         |2             |
|衰兰送客咸阳道，天若有情天亦老。         |2             |
|时人不识凌云木，直待凌云始道高。         |2             |
|呜呼！楚虽三户能亡秦，岂有堂堂中国空无人！    |3             |
|白日放歌须纵酒，青春作伴好还乡。         |2             |
|夕阳无限好，只是近黄昏。             |2             |
|纸上得来终觉浅，绝知此事要躬行。         |3             |
|露从今夜白，月是故乡明。             |2             |
|伤心桥下春波绿，曾是惊鸿照影来。         |2             |
|兰有秀兮菊有芳，怀佳人兮不能忘。         |2             |
|旧时王谢堂前燕，飞入寻常百姓家。         |2             |
|洛阳亲友如相问，一片冰心在玉壶。         |2             |
|无情不似多情苦，一寸还成千万缕。         |2             |
|试问岭南应不好，却道：此心安处是吾乡。      |2             |
|天街小雨润如酥，草色遥看近却无。         |2             |
|多情只有春庭月，犹为离人照落花。         |2             |
|晚来天欲雪，能饮一杯无？             |3             |
|小荷才露尖尖角，早有蜻蜓立上头。         |2             |
|春风十里扬州路，卷上珠帘总不如。         |3             |
|人生自古谁无死？留取丹心照汗青。         |2             |
|一寸柔肠情几许？薄衾孤枕，梦回人静，彻晓潇潇雨。 |2             |
|萧萧梧叶送寒声，江上秋风动客情。         |2             |
|世情薄，人情恶，雨送黄昏花易落。         |2             |
|南朝四百八十寺，多少楼台烟雨中。         |2             |
|盛年不重来，一日难再晨。             |2             |
|若待上林花似锦，出门俱是看花人。         |2             |
|柳庭风静人眠昼，昼眠人静风庭柳。         |3             |
|情人怨遥夜，竟夕起相思。             |3             |
|似花还似非花，也无人惜从教坠。          |2             |
|无情最是台城柳，依旧烟笼十里堤。         |2             |
|红颜未老恩先断，斜倚薰笼坐到明。         |2             |
|缺月挂疏桐，漏断人初静。             |2             |
|草木有本心，何求美人折！             |2             |
|莫道不销魂，帘卷西风，人比黄花瘦。        |2             |
|千古兴亡多少事？悠悠。不尽长江滚滚流。      |2             |
|荷叶生时春恨生，荷叶枯时秋恨成。         |2             |
|停车坐爱枫林晚，霜叶红于二月花。         |2             |
|感时花溅泪，恨别鸟惊心。             |2             |
|中秋谁与共孤光。把盏凄然北望。          |2             |
|柴门闻犬吠，风雪夜归人。             |3             |
|一别如斯，落尽梨花月又西。            |2             |
|寒夜客来茶当酒，竹炉汤沸火初红。         |2             |
|清明时节雨纷纷，路上行人欲断魂。         |2             |
|卧看满天云不动，不知云与我俱东。         |2             |
|漠漠水田飞白鹭，阴阴夏木啭黄鹂。         |2             |
|海棠未雨，梨花先雪，一半春休。          |2             |
|草木也知愁，韶华竟白头。             |2             |
|但使龙城飞将在，不教胡马度阴山。         |2             |
|举杯邀明月，对影成三人。             |2             |
|纵被无情弃，不能羞。               |2             |
|迢迢牵牛星，皎皎河汉女。             |2             |
|遥想公瑾当年，小乔初嫁了，雄姿英发。       |2             |
|儿童急走追黄蝶，飞入菜花无处寻。         |2             |
|梅花雪，梨花月，总相思。             |2             |
|素衣莫起风尘叹，犹及清明可到家。         |3             |
|天下英雄谁敌手？曹刘。生子当如孙仲谋。      |2             |
|范增一去无谋主，韩信原来是逐臣。         |2             |
|青山隐隐水迢迢，秋尽江南草未凋。         |2             |
|问渠哪得清如许？为有源头活水来。         |2             |
|春草明年绿，王孙归不归？             |2             |
|不是花中偏爱菊，此花开尽更无花。         |2             |
|碧玉妆成一树高，万条垂下绿丝绦。         |2             |
|黄昏庭院柳啼鸦，记得那人，和月折梨花。      |2             |
|暗暗淡淡紫，融融冶冶黄。             |2             |
|云淡风轻近午天，傍花随柳过前川。         |2             |
|银烛秋光冷画屏，轻罗小扇扑流萤。         |2             |
|谁教岁岁红莲夜，两处沉吟各自知。         |2             |
|高楼目尽欲黄昏，梧桐叶上萧萧雨。         |2             |
|风烟俱净，天山共色。               |2             |
|冰，水为之，而寒于水。              |2             |
|一夜雨声凉到梦，万荷叶上送秋来。         |2             |
|深知身在情长在，怅望江头江水声。         |2             |
|杨花榆荚无才思，惟解漫天作雪飞。         |2             |
|浊酒一杯家万里，燕然未勒归无计。         |2             |
|仍怜故乡水，万里送行舟。             |2             |
|纸屏石枕竹方床，手倦抛书午梦长。         |2             |
|江南春尽离肠断，苹满汀洲人未归。         |3             |
|当时轻别意中人，山长水远知何处。         |2             |
|千古江山，英雄无觅，孙仲谋处。          |2             |
|酒债寻常行处有，人生七十古来稀。         |2             |
|昨夜雨疏风骤，浓睡不消残酒。           |2             |
|寻常一样窗前月，才有梅花便不同。         |2             |
|穷且益坚，不坠青云之志。             |2             |
|客路青山外，行舟绿水前。             |2             |
|故不登高山，不知天之高也；不临深溪，不知地之厚也；|2             |
|梦断香消四十年，沈园柳老不吹绵。         |2             |
|鸡声茅店月，人迹板桥霜。             |2             |
|遥知湖上一樽酒，能忆天涯万里人。         |2             |
|独坐幽篁里，弹琴复长啸。             |2             |
|四月十七，正是去年今日，别君时。         |2             |
|新丰美酒斗十千，咸阳游侠多少年。         |2             |
|童孙未解供耕织，也傍桑阴学种瓜。         |3             |
|深林人不知，明月来相照。             |2             |
|绿杨芳草长亭路。年少抛人容易去。         |2             |
|过尽千帆皆不是，斜晖脉脉水悠悠。         |2             |
|不知何处吹芦管，一夜征人尽望乡。         |2             |
|这次第，怎一个愁字了得！             |2             |
|山回路转不见君，雪上空留马行处。         |2             |
|天与短因缘，聚散常容易。             |2             |
|河海不择细流，故能就其深；            |2             |
|解落三秋叶，能开二月花。             |2             |
|荷叶罗裙一色裁，芙蓉向脸两边开。         |2             |
|常记溪亭日暮，沉醉不知归路。           |2             |
|更无柳絮因风起，惟有葵花向日倾。         |2             |
|佳节清明桃李笑，野田荒冢只生愁。         |2             |
|绿酒初尝人易醉。一枕小窗浓睡。          |2             |
|一年三百六十日，多是横戈马上行。         |2             |
